Teams,4,5,6,7,8,Total
Arsenal,1.91,1.51,1.07,1.23,1.65,7.370000000000001
Aston Villa,0.94,1.22,1.22,1.2,1.28,5.86
Brentford,0.61,0.7,0.52,0.72,0.44,2.9899999999999998
Brighton,1.01,1.06,1.39,0.91,1.61,5.98
Burnley,0.82,0.76,0.96,1.24,0.56,4.34
Chelsea,1.39,1.3,0.9,1.95,1.47,7.01
Crystal Palace,0.83,0.83,0.89,1.06,0.99,4.6
Everton,1.31,1.25,1.79,1.09,1.18,6.619999999999999
Leeds,1.17,2.13,1.51,1.83,2.23,8.87
Leicester,1.01,1.55,1.76,2.25,1.36,7.930000000000001
Liverpool,2.0,2.12,1.67,1.03,2.13,8.95
Man City,2.49,2.93,1.53,1.8,2.37,11.120000000000001
Man United,2.36,1.94,1.77,1.67,2.09,9.83
Newcastle,1.08,1.34,1.54,1.23,0.99,6.18
Norwich,0.86,1.04,0.86,1.03,0.78,4.57
Southampton,1.15,0.79,1.12,0.82,1.32,5.2
Tottenham,2.23,1.05,1.58,1.55,2.24,8.65
Watford,0.52,0.88,0.7,0.66,0.42,3.1799999999999997
West Ham,2.45,1.41,2.04,1.58,1.65,9.13
Wolves,1.02,0.74,1.15,1.02,0.82,4.75
